image,label
0.jpg,ط ج ج ٩ ٧ ١ ٥
1.jpg,ل أ ص ٩ ٥ ٢ ٣
10.jpg,ع ر ب ١
100.jpg,ط ع ٦ ٤ ٣ ٥
1000.jpg,ق ن ص ٢ ٦ ٥
1001.jpg,ط ه ن ٤ ١ ٣ ١
1002.jpg,أ ط س ٧ ٤ ٩ ٦
1003.jpg,ن ه أ ٤ ٧ ٨
1004.jpg,س ر أ ٣ ٧ ٢
1005.jpg,ق ى س ٣ ٨ ٥ ٦
1006.jpg,ق ب ط ٥ ١ ٧
1007.jpg,ف م م ٢ ٦ ٣
1008.jpg,ف م م ٢ ٦ ٣
1009.jpg,ى و ج ٦ ٣ ٩
101.jpg,ف ر س ٦ ٦ ٦
1010.jpg,أ ق س ٥ ٦ ١ ٤
1011.jpg,ق ق ل ٥ ١ ٨
1012.jpg,ن ف أ ٧ ٦ ١
1013.jpg,ب ى ب ٥ ٨ ٩
1014.jpg,ف ص أ ٦ ٤ ٢
1015.jpg,ط ه و ٩ ٤ ٦
1016.jpg,م م ع ٥ ٣ ٤
1017.jpg,م م ع ٥ ٣ ٤
1018.jpg,ق ف ن ٨ ٦ ١
1019.jpg,ق ف ن ٨ ٦ ١
102.jpg,ن ب ٩ ٨ ٩ ٥
1020.jpg,ق ف ن ٨ ٦ ١
1021.jpg,ل د ه ٦ ٥ ١
1022.jpg,ن ص ص ٩ ٥ ٧
1023.jpg,س ق ع ٨ ٣ ٢
1024.jpg,ق ل ن ١ ٦ ٩
1025.jpg,أ ج م ١ ٩ ٧ ٨
1026.jpg,ب م س ٣ ٧ ١
1027.jpg,أ ر ج ١ ٣ ١ ٨
1028.jpg,أ ط ع ١ ٦ ٧ ٩
1029.jpg,س ق ج ٦ ٥ ١
103.jpg,د ص ٨ ٢ ٧ ١
1030.jpg,ل ط ن ٨ ٩ ١
1031.jpg,ب د ن ٣ ٤ ٩
1032.jpg,أ ط ج ٧ ٨ ٤ ٦
1033.jpg,ى و ج ٦ ٣ ٩
1034.jpg,أ ر ج ١ ٣ ١ ٨
1035.jpg,س و ٤ ٦ ١ ٥
1036.jpg,ن ل ع ١ ٦ ٤
1037.jpg,ر ق ل ٢ ٥ ٧
1038.jpg,ل ط ن ٨ ٩ ١
1039.jpg,ر د أ ١ ٩ ٨ ٧
104.jpg,ل ط ج ٧ ٦ ٥ ٤
1040.jpg,س ع ل ٦ ٤ ٢
1041.jpg,و ص أ ٩ ١ ٦
1042.jpg,ق ى أ ٢ ٩ ٦ ٥
1043.jpg,ق ى س ٣ ٨ ٥ ٦
1044.jpg,ب و س ٤ ٢ ٨
1045.jpg,س ل ى ٩ ٤ ٨
1046.jpg,أ ج م ٤ ٥ ٣ ٧
1047.jpg,ص ل ع ٦ ٤ ٣
1048.jpg,ف ل ل ٦ ٥ ١
1049.jpg,أ ى ط ٣ ٢ ٦ ٧
105.jpg,ر ر ر ٥ ٥ ٥
1050.jpg,ط ص ن ٨ ٧ ٤
1051.jpg,س ع ع ٦ ٧ ٨
1052.jpg,أ ق ع ٥ ٩ ١ ٤
1053.jpg,ف ل ل ٦ ٥ ١
1054.jpg,ى د ل ٥ ٧ ٣
1055.jpg,ه و ف ٧ ١ ٢
